rider_id,week_id,home_zone_id,delivery_platform,tier,avg_delivery_radius_km,primary_shift,avg_daily_active_hours,loyalty_weeks_active,avg_weekly_earnings_4wk,earnings_volatility_index,claim_history_score,zone_elevation_index,waterlogging_incidents_3yr,road_quality_score,zone_heat_island_index,rain_mm_7day_forecast,max_temp_forecast,wind_gust_kmh_forecast,aqi_forecast_avg,imd_alert_level_forecast,bandh_probability_score,platform_outage_7d_count,festival_calendar_flag,political_event_flag,w_risk,disruption_label,r_alert,loyalty_discount,premium_charged
R00023,163,t_nagar,swiggy,shield,5.22,evening,3.4,44,7004.0,0.123,0.0815,5.05,5,4.69,1.95,6.3,26.4,21.0,382.0,0,0.2439,2,0,0,0.819,0,1.0,0.7,56.75
R00024,148,sholinganallur,swiggy,standard,5.62,evening,7.6,36,4794.0,0.1926,0.0868,5.76,3,7.21,1.68,55.8,28.6,20.2,287.0,1,0.1806,1,1,0,0.7777,0,0.75,0.7,28.17
R00025,62,royapuram,zomato,standard,6.1,evening,3.8,20,8455.0,0.142,0.0584,1.55,11,2.58,2.58,1.9,30.4,10.8,125.0,0,0.0925,3,0,0,0.7609,0,1.0,0.75,39.37
R00026,7,velachery,swiggy,standard,6.74,afternoon,7.5,28,5825.0,0.2753,0.0994,1.51,15,4.14,2.52,2.6,31.5,8.4,130.0,0,0.304,0,0,0,0.7905,0,1.0,0.7,38.18
R00027,52,anna_nagar,zepto,standard,3.33,night,10.7,0,7054.0,0.0777,0.1429,7.18,2,7.78,1.08,5.2,27.4,10.0,235.0,0,0.4148,0,1,0,0.7556,1,1.0,1.0,52.14
R00028,26,chromepet,swiggy,shield,9.03,afternoon,8.8,0,2235.0,0.4263,0.1242,4.27,6,5.63,1.93,40.6,35.1,15.6,214.0,1,0.1708,0,0,0,0.8406,0,0.75,1.0,62.41
R00029,80,adyar,swiggy,standard,5.75,evening,11.6,8,7400.0,0.2854,0.021,3.05,7,5.86,2.05,76.9,35.1,36.3,103.0,2,0.1516,1,0,0,0.8679,0,0.5,0.9,26.95
R00030,142,sholinganallur,swiggy,starter,12.21,evening,7.6,12,6223.0,0.2879,0.3885,5.04,4,6.85,1.15,39.1,37.5,25.8,124.0,0,0.0948,1,0,0,0.8201,0,1.0,0.85,27.19
R00031,160,sholinganallur,blinkit,starter,6.28,morning,7.7,0,11176.0,0.2346,0.2119,4.43,4,6.56,0.93,4.4,28.3,36.1,240.0,1,0.2066,1,0,0,0.8143,0,0.75,1.0,23.82
R00032,36,tambaram,zomato,starter,8.35,night,10.3,16,9418.0,0.212,0.0502,3.95,8,4.67,1.79,97.1,30.9,25.9,109.0,2,0.2736,1,0,0,0.8862,1,0.5,0.8,13.82
R00033,104,royapuram,swiggy,shield,8.01,morning,7.6,28,4762.0,0.159,0.1412,1.79,13,2.93,2.45,7.6,30.7,25.5,311.0,0,0.3414,1,1,0,0.7917,0,1.0,0.7,54.86
R00034,47,chromepet,zepto,starter,7.06,night,7.7,8,6764.0,0.1372,0.109,3.65,5,5.7,1.8,90.9,28.2,55.0,117.0,3,0.2519,2,0,0,0.8978,1,0.25,0.9,7.88
R00035,36,perambur,zomato,starter,5.83,morning,11.8,24,3431.0,0.5254,0.2274,3.07,9,4.3,2.5,54.0,32.2,51.0,72.0,2,0.2003,0,0,0,0.8969,1,0.5,0.7,12.24
R00036,194,velachery,swiggy,shield,10.32,afternoon,7.5,4,7134.0,0.2964,0.192,2.13,13,4.1,2.25,73.0,33.4,41.8,115.0,2,0.1569,1,0,0,0.9185,1,0.5,0.95,43.19
R00037,83,t_nagar,swiggy,standard,5.73,afternoon,10.0,16,5686.0,0.0119,0.0427,5.21,4,4.98,1.91,55.7,32.0,16.2,146.0,1,0.1233,0,0,0,0.7974,0,0.75,0.8,33.01
R00038,32,chromepet,zomato,standard,6.44,evening,7.0,4,5699.0,0.3765,0.1701,3.92,6,5.97,1.4,100.1,33.3,67.7,65.0,3,0.0603,1,0,0,0.9139,1,0.25,0.95,14.98
R00039,105,adyar,zomato,standard,10.34,afternoon,7.6,36,5487.0,0.2109,0.0145,3.29,8,6.69,2.22,4.1,28.0,13.0,314.0,0,0.3251,1,0,0,0.8408,0,1.0,0.7,40.61
R00040,178,chromepet,zomato,shield,7.88,afternoon,5.4,16,3712.0,0.1531,0.2553,4.51,6,5.82,1.86,30.2,35.7,14.4,64.0,0,0.089,0,0,1,0.7855,0,1.0,0.8,62.22
R00041,88,chromepet,zomato,starter,6.7,afternoon,10.0,8,10012.0,0.0833,0.0546,4.54,6,6.69,1.91,30.0,33.0,7.7,119.0,0,0.1025,1,0,0,0.7918,1,1.0,0.9,27.79
R00042,77,adyar,swiggy,standard,6.84,morning,8.3,36,7315.0,0.8077,0.3546,2.9,8,5.82,2.15,31.2,39.8,20.7,61.0,0,0.1847,2,0,0,0.8452,0,1.0,0.7,40.82
R00043,45,t_nagar,zepto,standard,2.02,evening,7.1,20,7944.0,0.2321,0.1081,5.6,4,5.25,2.23,118.8,29.8,41.7,173.0,2,0.3196,1,0,0,0.8599,1,0.5,0.75,22.25
R00044,64,sholinganallur,zomato,starter,6.39,morning,11.3,20,8318.0,0.1988,0.0845,5.48,3,6.66,1.09,3.9,33.8,21.2,152.0,0,0.2824,0,0,0,0.7942,1,1.0,0.75,23.23
R00045,46,tambaram,zomato,starter,6.04,morning,8.9,24,10725.0,0.2105,0.0411,3.92,8,5.16,1.56,58.9,28.1,35.1,234.0,1,0.1689,1,0,0,0.8565,1,0.75,0.7,17.54
R00046,53,velachery,zomato,shield,5.6,night,6.7,20,8569.0,0.3468,0.0761,1.8,13,4.19,2.53,8.2,27.5,11.5,487.0,0,0.2375,1,0,0,0.8695,0,1.0,0.75,64.56
R00047,175,tambaram,zomato,standard,4.26,night,8.8,12,5110.0,0.5788,0.1263,4.37,8,5.65,1.69,11.9,36.0,13.0,47.0,0,0.0624,0,0,0,0.7862,0,1.0,0.85,46.11
R00048,199,adyar,swiggy,standard,8.39,night,11.9,28,5231.0,0.36,0.1331,3.01,9,5.2,2.07,70.8,32.2,44.3,97.0,2,0.5675,2,1,0,0.8855,0,0.5,0.7,21.39
R00049,199,guindy,swiggy,standard,6.18,afternoon,8.1,32,3600.0,0.3018,0.1161,6.09,3,7.4,1.44,29.3,30.1,66.8,197.0,2,0.2257,0,1,0,0.8153,0,0.5,0.7,19.69
R00050,142,tambaram,swiggy,shield,6.55,evening,8.4,36,6455.0,0.4656,0.2157,4.08,8,5.21,1.62,37.0,32.1,31.6,87.0,1,0.0895,0,0,0,0.8168,1,0.75,0.7,42.45
R00051,133,adyar,swiggy,standard,7.56,evening,5.0,12,8088.0,0.1184,0.2352,2.71,9,6.17,1.73,47.3,32.0,43.2,89.0,1,0.2148,0,0,0,0.84,0,0.75,0.85,36.95
R00052,13,guindy,swiggy,starter,7.77,afternoon,10.7,24,7324.0,0.0893,0.2733,6.4,2,7.17,1.48,8.4,34.0,51.8,68.0,2,0.0706,0,0,0,0.8161,0,0.5,0.7,11.14
R00053,179,perambur,zomato,standard,4.76,evening,12.3,24,5410.0,0.2365,0.0363,3.15,8,3.95,2.53,36.5,36.2,27.2,55.0,0,0.0663,2,0,1,0.8185,0,1.0,0.7,39.53
R00054,4,tambaram,zomato,shield,5.28,evening,6.2,0,6451.0,0.4429,0.0736,3.71,7,4.68,1.77,4.9,24.9,19.5,144.0,0,0.2541,0,0,0,0.7845,0,1.0,1.0,77.66
R00055,157,t_nagar,zepto,standard,6.27,evening,5.5,48,7590.0,0.1953,0.3351,4.93,5,4.89,1.96,4.0,27.6,11.8,223.0,0,0.611,2,0,0,0.8281,0,1.0,0.7,40.0
R00056,117,anna_nagar,zomato,standard,6.5,morning,8.0,8,6124.0,0.131,0.0326,6.99,3,8.3,1.08,6.4,33.7,16.7,66.0,0,0.2982,0,0,0,0.7807,0,1.0,0.9,48.48
R00057,69,royapuram,zepto,standard,3.2,afternoon,11.4,0,5148.0,0.0445,0.0374,1.68,13,3.0,3.15,18.5,38.0,55.0,131.0,2,0.2069,1,0,1,0.8419,1,0.5,1.0,29.05
R00058,108,sholinganallur,zomato,standard,5.24,morning,9.6,12,7892.0,0.3503,0.0325,5.25,4,7.22,1.3,7.1,27.6,8.4,267.0,0,0.2622,2,0,0,0.8229,0,1.0,0.85,48.26
R00059,153,anna_nagar,zepto,standard,3.79,morning,7.5,44,4701.0,0.2177,0.2898,6.79,1,7.11,1.14,111.3,26.5,29.9,181.0,2,0.3428,1,0,0,0.8234,0,0.5,0.7,19.89
R00060,69,adyar,blinkit,starter,6.77,afternoon,6.2,52,7930.0,0.1805,0.5238,2.85,9,6.03,2.1,8.8,32.5,11.5,98.0,0,0.1115,2,0,1,0.7855,0,1.0,0.7,21.44
R00061,16,adyar,zomato,starter,6.56,morning,7.8,28,8515.0,0.4906,0.1006,2.98,7,5.67,1.78,13.8,34.7,12.1,74.0,0,0.3814,2,0,1,0.8214,0,1.0,0.7,22.43
R00062,130,royapuram,zepto,standard,2.5,evening,4.3,32,6861.0,0.4235,0.1078,1.77,13,2.39,2.86,46.4,35.1,22.5,64.0,1,0.0733,2,0,0,0.8332,0,0.75,0.7,30.18
R00063,11,guindy,zomato,standard,6.63,morning,10.0,4,6559.0,0.1823,0.1525,6.23,2,7.11,1.49,7.1,34.6,20.0,106.0,0,0.3847,0,0,0,0.7996,0,1.0,0.95,52.42
R00064,130,sholinganallur,swiggy,standard,6.27,evening,9.5,20,8763.0,0.4663,0.0484,4.86,4,6.88,1.35,49.8,33.4,31.6,68.0,1,0.0891,1,0,0,0.8158,0,0.75,0.75,31.66
R00065,190,tambaram,zepto,shield,4.56,afternoon,9.5,36,3690.0,0.1264,0.1152,4.23,8,4.8,2.09,69.5,32.8,22.9,112.0,1,0.3552,2,0,0,0.8482,0,0.75,0.7,44.09
R00066,141,royapuram,zomato,standard,6.41,afternoon,9.9,40,9579.0,0.4521,0.065,2.11,11,3.74,2.42,61.2,33.3,42.0,264.0,1,0.1358,2,0,0,0.9242,0,0.75,0.7,33.48
R00067,50,perambur,zomato,starter,11.34,afternoon,7.6,48,9162.0,0.4287,0.1857,2.45,8,3.59,2.46,69.0,26.6,11.5,264.0,1,0.2152,1,0,0,0.9175,1,0.75,0.7,18.79
R00068,189,royapuram,swiggy,standard,4.31,evening,9.7,16,5464.0,0.2126,0.1517,2.33,11,2.77,2.7,126.6,30.6,55.4,109.0,3,0.1085,3,0,0,1.0003,1,0.25,0.8,13.8
R00069,174,guindy,swiggy,standard,5.22,evening,7.4,12,6264.0,0.2317,0.0802,6.31,2,7.64,1.68,7.5,39.4,19.0,98.0,0,0.1817,1,0,0,0.7743,0,1.0,0.85,45.41
R00070,39,adyar,zomato,shield,6.79,evening,7.7,32,3827.0,0.3,0.182,2.99,9,5.92,1.83,63.9,27.3,92.6,86.0,4,0.2105,1,0,0,0.9537,1,0.0,0.7,0.0
R00071,164,royapuram,swiggy,standard,5.88,evening,7.6,12,8499.0,0.184,0.1015,1.9,11,2.61,2.71,5.9,28.0,13.0,173.0,0,0.0545,0,0,0,0.7742,0,1.0,0.85,45.41
R00072,49,perambur,zomato,standard,6.9,evening,8.3,16,6474.0,0.3791,0.1151,2.92,9,4.64,2.31,91.0,26.0,64.2,182.0,3,0.2874,0,0,0,0.9578,0,0.25,0.8,13.22
R00073,67,anna_nagar,zomato,standard,7.58,evening,9.8,20,4287.0,0.3422,0.0721,6.6,1,7.57,1.05,20.3,34.6,16.5,100.0,0,0.0956,1,0,1,0.7922,0,1.0,0.75,41.0
R00074,47,t_nagar,zomato,standard,4.51,evening,7.6,28,7714.0,0.1786,0.2653,5.08,5,5.42,2.85,51.7,29.9,18.9,130.0,1,0.1792,1,0,0,0.8029,0,0.75,0.7,29.09
R00075,137,sholinganallur,swiggy,standard,6.75,evening,7.3,20,6825.0,0.307,0.0479,4.74,4,7.43,1.5,33.3,35.5,32.6,92.0,1,0.0618,0,0,0,0.7901,0,0.75,0.75,30.67
R00076,65,adyar,zepto,shield,2.12,afternoon,7.4,16,7640.0,0.5157,0.4215,3.29,9,6.49,1.85,3.0,34.4,38.7,148.0,1,0.0647,3,0,0,0.7935,1,0.75,0.8,47.14
R00077,7,adyar,swiggy,standard,8.12,morning,6.8,24,8093.0,0.5707,0.0851,3.23,9,6.22,2.16,3.3,29.7,17.1,172.0,0,0.2471,1,0,0,0.8087,1,1.0,0.7,39.06
R00078,156,velachery,blinkit,standard,7.47,night,5.9,4,8405.0,0.2501,0.1099,1.75,13,4.16,2.69,4.0,24.6,12.4,189.0,0,0.3116,0,1,0,0.7483,0,1.0,0.95,49.05
R00079,202,perambur,zomato,standard,9.55,morning,9.6,8,4359.0,0.4858,0.2114,2.9,9,4.27,2.09,94.4,27.5,23.5,72.0,2,0.2457,0,0,0,0.9171,0,0.5,0.9,28.48
R00080,121,sholinganallur,zepto,standard,3.33,morning,5.0,4,4064.0,0.0642,0.295,4.65,5,7.45,1.31,12.7,38.0,21.7,110.0,0,0.1331,0,0,1,0.7541,0,1.0,0.95,49.43
R00081,103,anna_nagar,zomato,standard,7.04,evening,8.5,48,6130.0,0.1975,0.1466,7.35,1,7.7,0.84,77.3,24.4,75.5,138.0,2,0.1896,0,1,0,0.8233,0,0.5,0.7,19.89
R00082,46,chromepet,blinkit,standard,4.69,afternoon,12.0,0,6512.0,0.4652,0.0812,4.33,6,6.45,1.38,107.7,28.7,42.9,228.0,2,0.17,2,0,0,0.9117,0,0.5,1.0,31.45
R00083,58,adyar,blinkit,standard,8.61,morning,7.6,8,9006.0,0.2988,0.2533,2.59,7,6.01,2.11,6.4,28.9,23.7,169.0,0,0.2054,1,0,0,0.8031,0,1.0,0.9,49.87
R00084,154,adyar,zomato,shield,6.15,afternoon,4.3,36,9398.0,0.2761,0.2369,2.81,7,6.53,1.66,85.2,30.4,14.6,162.0,2,0.3555,1,0,0,0.8641,0,0.5,0.7,29.94
R00085,22,sholinganallur,swiggy,standard,7.18,evening,7.4,12,7719.0,0.2673,0.3314,4.67,5,6.43,1.44,39.2,35.7,34.6,133.0,1,0.1011,0,0,1,0.808,0,0.75,0.85,35.54
R00086,167,guindy,zepto,shield,1.7,afternoon,5.9,24,4343.0,0.1653,0.0489,6.3,3,6.93,1.64,8.3,29.4,11.3,148.0,0,0.1896,1,0,0,0.7544,0,1.0,0.7,52.28
R00087,152,tambaram,zomato,standard,8.07,night,9.8,24,7969.0,0.2008,0.213,4.03,6,5.01,1.61,45.1,29.1,42.0,283.0,1,0.2297,0,0,0,0.8785,0,0.75,0.7,31.82
R00088,127,t_nagar,swiggy,standard,7.91,evening,9.0,0,6590.0,0.5268,0.1064,4.91,6,4.97,2.19,25.6,34.0,25.8,97.0,0,0.1908,2,0,1,0.8217,0,1.0,1.0,56.7
R00089,123,velachery,swiggy,standard,9.02,night,7.6,20,5189.0,0.0598,0.0365,1.59,13,3.98,2.45,14.8,36.9,22.2,97.0,0,0.137,0,0,0,0.794,0,1.0,0.75,41.09
R00090,104,chromepet,zepto,standard,2.15,afternoon,5.8,8,3510.0,0.4169,0.1517,3.99,6,5.89,1.55,4.0,26.5,37.0,342.0,1,0.2836,1,1,0,0.7816,0,0.75,0.9,36.41
R00091,156,t_nagar,zomato,starter,4.11,night,10.9,0,4012.0,0.4175,0.0914,5.3,4,4.95,2.0,6.6,26.9,47.7,143.0,2,0.3624,3,1,0,0.791,1,0.5,1.0,15.43
R00092,146,royapuram,swiggy,starter,5.05,night,6.4,8,5257.0,0.5517,0.1563,2.08,11,2.39,2.96,45.7,30.4,53.7,197.0,2,0.2391,2,0,0,0.9104,1,0.5,0.9,15.98
R00093,27,velachery,zepto,standard,10.52,evening,7.9,4,5786.0,0.4221,0.3686,2.01,14,3.83,2.77,22.7,31.6,13.2,101.0,0,0.0661,5,0,0,0.844,0,1.0,0.95,55.32
R00094,128,t_nagar,zomato,shield,8.07,evening,9.1,48,6041.0,0.2021,0.4659,4.97,5,5.31,1.77,47.3,37.7,29.3,66.0,1,0.1348,1,0,0,0.8199,0,0.75,0.7,42.62
R00095,111,guindy,zomato,starter,6.44,morning,8.8,12,6109.0,0.3686,0.2508,5.66,2,7.39,1.68,3.8,30.0,45.3,95.0,2,0.3798,1,0,0,0.8323,0,0.5,0.85,13.79
R00096,140,perambur,swiggy,standard,5.17,morning,6.0,12,7672.0,0.2289,0.1631,2.89,10,4.02,2.35,35.5,33.7,44.5,95.0,1,0.2364,1,0,0,0.8391,1,0.75,0.85,36.91
R00097,193,chromepet,zomato,standard,5.21,morning,6.7,0,4091.0,0.2371,0.2583,4.37,5,5.87,1.6,55.2,30.5,27.5,119.0,1,0.1389,0,0,0,0.8049,1,0.75,1.0,41.66
R00098,106,adyar,zomato,starter,8.34,evening,10.8,28,7246.0,0.1742,0.2601,2.94,9,6.84,2.12,5.6,27.9,18.1,227.0,0,0.283,1,1,0,0.7752,0,1.0,0.7,21.16
R00099,12,perambur,zepto,shield,4.76,evening,11.2,20,6202.0,0.1219,0.1347,3.09,10,4.16,2.05,10.7,33.6,18.7,59.0,0,0.1838,0,0,0,0.7877,0,1.0,0.75,58.49
R00100,206,t_nagar,zomato,starter,9.87,afternoon,8.7,0,3683.0,0.0643,0.2295,5.1,5,4.99,2.01,58.0,28.3,20.7,231.0,1,0.1599,1,0,0,0.8418,1,0.75,1.0,24.62
R00101,12,velachery,zepto,standard,1.6,afternoon,9.4,0,7620.0,0.3535,0.2753,2.18,15,3.98,2.47,16.1,30.3,41.6,86.0,1,0.07,3,0,0,0.8153,0,0.75,1.0,42.2
R00102,50,tambaram,zepto,standard,4.01,night,7.0,24,6776.0,0.4632,0.0152,4.19,6,5.35,1.93,65.2,24.5,81.1,183.0,2,0.3622,3,0,0,0.9385,0,0.5,0.7,22.66
R00103,107,royapuram,zomato,shield,4.74,night,9.2,36,6200.0,0.2213,0.0677,2.04,13,2.68,2.77,6.9,29.4,15.8,186.0,0,0.2107,3,1,0,0.7525,0,1.0,0.7,52.15
R00104,177,guindy,swiggy,starter,6.43,night,4.6,32,5667.0,0.1652,0.1009,5.8,3,6.72,1.4,19.0,36.9,16.1,51.0,0,0.4144,1,0,0,0.791,0,1.0,0.7,21.6
R00105,167,royapuram,blinkit,standard,3.27,evening,5.2,4,7634.0,0.0936,0.2979,1.95,13,2.94,3.01,2.9,35.0,22.8,262.0,0,0.2204,0,0,0,0.7855,0,1.0,0.95,51.49
R00106,186,chromepet,zepto,standard,4.79,night,7.8,44,4919.0,0.4349,0.1225,4.1,6,6.02,1.87,55.5,36.1,79.9,118.0,2,0.0948,2,0,0,0.9023,0,0.5,0.7,21.79
R00107,68,t_nagar,zomato,standard,11.53,evening,6.8,12,6735.0,0.2216,0.0634,4.67,5,5.27,2.7,13.2,34.4,22.7,155.0,0,0.0507,1,0,1,0.7916,0,1.0,0.85,46.43
R00108,12,adyar,zomato,standard,4.56,morning,9.3,24,9262.0,0.3953,0.2857,3.3,7,5.91,2.37,10.6,34.1,16.0,131.0,0,0.144,0,0,0,0.7899,0,1.0,0.7,38.15
R00109,94,velachery,zomato,starter,7.23,morning,8.2,28,8833.0,0.2663,0.1798,2.08,13,3.43,2.65,50.1,32.3,32.5,186.0,1,0.0804,0,0,0,0.8622,0,0.75,0.7,17.66
R00110,103,royapuram,blinkit,shield,4.04,evening,7.1,8,4669.0,0.3216,0.1877,2.44,13,3.01,2.85,98.5,25.7,33.3,343.0,2,0.1875,2,1,0,0.9216,1,0.5,0.9,41.05
R00111,175,guindy,zomato,shield,4.89,morning,8.5,8,9583.0,0.0457,0.2356,5.96,3,6.62,1.39,18.6,38.4,22.4,116.0,0,0.1813,0,0,0,0.7735,0,1.0,0.9,68.92
R00112,60,tambaram,swiggy,shield,7.3,afternoon,6.6,28,6630.0,0.4359,0.2037,4.26,7,4.55,2.28,6.0,27.2,42.4,225.0,1,0.1104,0,0,0,0.8222,0,0.75,0.7,42.73
R00113,21,perambur,swiggy,starter,9.08,evening,10.5,8,6384.0,0.5007,0.0884,3.04,9,4.08,2.18,18.0,37.9,15.1,45.0,0,0.1852,1,0,0,0.8283,0,1.0,0.9,29.07
R00114,127,guindy,zomato,standard,7.45,afternoon,8.8,20,7270.0,0.1199,0.433,6.47,4,7.03,1.38,24.7,35.2,24.8,61.0,0,0.0588,1,0,1,0.7854,0,1.0,0.75,40.64
R00115,170,chromepet,blinkit,shield,2.46,evening,11.4,28,10082.0,0.2482,0.14,3.91,7,6.14,1.55,10.6,35.5,15.9,115.0,0,0.1433,1,0,0,0.7818,0,1.0,0.7,54.18
R00116,122,anna_nagar,swiggy,standard,5.62,evening,7.7,32,7544.0,0.3072,0.2592,7.16,3,8.33,1.3,6.1,40.5,14.0,55.0,0,0.108,0,0,0,0.7735,0,1.0,0.7,37.36
R00117,168,chromepet,swiggy,starter,6.76,evening,8.5,8,4748.0,0.1402,0.1853,4.08,6,5.82,1.41,5.8,32.9,6.2,317.0,0,0.155,1,0,0,0.819,0,1.0,0.9,28.75
R00118,140,velachery,swiggy,standard,8.71,evening,8.7,28,7435.0,0.5647,0.0989,1.79,13,3.57,2.21,39.4,34.5,15.1,82.0,0,0.0715,1,0,0,0.8565,0,1.0,0.7,41.37
R00119,99,perambur,zomato,starter,8.03,evening,9.9,32,4513.0,0.1318,0.0324,3.36,10,3.6,2.15,140.6,27.2,71.6,498.0,3,0.2301,0,0,0,1.0948,1,0.25,0.7,7.47
R00120,143,guindy,swiggy,standard,11.86,evening,9.1,32,4505.0,0.2236,0.0904,6.06,2,7.17,1.61,53.5,29.3,28.0,129.0,1,0.2516,0,0,0,0.8241,0,0.75,0.7,29.85
R00121,21,chromepet,blinkit,standard,2.86,evening,11.8,16,5517.0,0.1327,0.39,3.62,6,5.89,1.18,22.9,35.9,18.0,52.0,0,0.114,5,0,0,0.8039,1,1.0,0.8,44.37
R00122,122,tambaram,zomato,shield,6.86,evening,7.8,8,2000.0,0.2392,0.3533,4.36,7,5.57,1.69,25.6,38.5,46.6,45.0,2,0.4677,0,0,0,0.8507,1,0.5,0.9,37.9
R00123,166,perambur,blinkit,standard,2.59,evening,5.8,12,8671.0,0.3996,0.0362,2.6,10,4.43,2.32,12.2,31.0,31.0,162.0,1,0.0664,0,0,0,0.7709,0,0.75,0.85,33.91
